company_name|symbol|sector_name|subsector_name|listing_date
Petron Corporation Perpetual Preferred Shares Series ``2`` -Subseries ``2A``|PRF2A|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|November 03, 2014
Petron Corporation Perpetual Preferred Shares Series ``2`` -Subseries ``2B``|PRF2B|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|November 03, 2014
Petron Corporation Perpetual Preferred Shares Series ``3`` -Subseries ``3A``|PRF3A|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|June 25, 2019
Petron Corporation Perpetual Preferred Shares Series ``3`` -Subseries ``3B``|PRF3B|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|June 25, 2019
Petron Corporation Non-Voting Perpetual Series 4A Preferred Shares|PRF4A|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|July 07, 2023
Petron Corporation Non-Voting Perpetual Series 4B Preferred Shares|PRF4B|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|July 07, 2023
Petron Corporation Non-Voting Perpetual Series 4C Preferred Shares|PRF4C|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|July 07, 2023
Prime Media Holdings, Inc.|PRIM|HOLDING FIRMS|HOLDING FIRMS|July 29, 1964
Primex Corporation|PRMX|PROPERTY|PROPERTY|August 10, 2001
Philippine Savings Bank|PSB|FINANCIALS|BANKS|October 10, 1994
The Philippine Stock Exchange, Inc.|PSE|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|December 15, 2003
Philippine Trust Company|PTC|FINANCIALS|BANKS|February 17, 1988
Philippine Telegraph and Telephone Corporation|PTT|SERVICES|TELECOMMUNICATIONS|January 10, 1990
Philex Mining Corporation|PX|MINING & OIL|MINING|November 23, 1956
PXP Energy Corporation|PXP|MINING & OIL|OIL|September 12, 2011
Rizal Commercial Banking Corporation|RCB|FINANCIALS|BANKS|November 06, 1986
Roxas and Company, Inc.|RCI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 29, 1948
RL Commercial REIT, Inc.|RCR|PROPERTY|PROPERTY|September 14, 2021
Repower Energy Development Corporation|REDC|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|July 24, 2023
Republic Glass Holdings Corporation|REG|HOLDING FIRMS|HOLDING FIRMS|July 17, 1959
RFM Corporation|RFM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|February 21, 1966
Robinsons Land Corporation|RLC|PROPERTY|PROPERTY|October 16, 1989
Philippine Realty and Holdings Corporation|RLT|PROPERTY|PROPERTY|September 07, 1987
Rockwell Land Corporation|ROCK|PROPERTY|PROPERTY|May 11, 2012
Roxas Holdings, Inc.|ROX|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|August 08, 1996
Robinsons Retail Holdings, Inc.|RRHI|SERVICES|RETAIL|November 11, 2013
SBS Philippines Corporation|SBS|SERVICES|OTHER SERVICES|August 10, 2015
Semirara Mining and Power Corporation|SCC|MINING & OIL|MINING|November 28, 1983
Security Bank Corporation|SECB|FINANCIALS|BANKS|June 08, 1995
Philippine Seven Corporation|SEVN|SERVICES|RETAIL|February 04, 1998
Swift Foods, Inc.|SFI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 15, 1994
Swift Foods, Inc. Convertible Preferred|SFIP|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 17, 2000
Solid Group, Inc.|SGI|HOLDING FIRMS|HOLDING FIRMS|April 26, 1948
Synergy Grid & Development Phils., Inc.|SGP|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|May 10, 1972
Shell Pilipinas Corporation|SHLPH|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|November 03, 2016
Shang Properties, Inc.|SHNG|PROPERTY|PROPERTY|June 13, 1991
Sun Life Financial Inc.|SLF|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|March 24, 2000
Sta. Lucia Land, Inc.|SLI|PROPERTY|PROPERTY|September 14, 1987
SM Investments Corporation|SM|HOLDING FIRMS|HOLDING FIRMS|March 22, 2005
San Miguel Corporation|SMC|HOLDING FIRMS|HOLDING FIRMS|November 05, 1948
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-A``|SMC2A|HOLDING FIRMS|HOLDING FIRMS|September 28, 2012
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-B``|SMC2B|HOLDING FIRMS|HOLDING FIRMS|September 28, 2012
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-C``|SMC2C|HOLDING FIRMS|HOLDING FIRMS|September 28, 2012
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-D``|SMC2D|HOLDING FIRMS|HOLDING FIRMS|September 21, 2015
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-E``|SMC2E|HOLDING FIRMS|HOLDING FIRMS|September 21, 2015
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-F``|SMC2F|HOLDING FIRMS|HOLDING FIRMS|September 21, 2015
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-G``|SMC2G|HOLDING FIRMS|HOLDING FIRMS|March 30, 2016
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-H``|SMC2H|HOLDING FIRMS|HOLDING FIRMS|March 30, 2016
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-I``|SMC2I|HOLDING FIRMS|HOLDING FIRMS|March 30, 2016
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-J``|SMC2J|HOLDING FIRMS|HOLDING FIRMS|October 29, 2020
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-K``|SMC2K|HOLDING FIRMS|HOLDING FIRMS|December 10, 2020
San Miguel Corporation Series 2 Preferred Shares – Subseries ``2L``|SMC2L|HOLDING FIRMS|HOLDING FIRMS|December 01, 2023
San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-M``|SMC2M|HOLDING FIRMS|HOLDING FIRMS|August 29, 2023
San Miguel Corporation Series 2 Preferred Shares – Subseries ``2N``|SMC2N|HOLDING FIRMS|HOLDING FIRMS|December 01, 2023
San Miguel Corporation Series 2 Preferred Shares – Subseries ``2O``|SMC2O|HOLDING FIRMS|HOLDING FIRMS|December 01, 2023
San Miguel Corporation - Preferred Series ``1``|SMCP1|HOLDING FIRMS|HOLDING FIRMS|December 08, 2010
SM Prime Holdings, Inc.|SMPH|PROPERTY|PROPERTY|July 05, 1994
SOCResources, Inc.|SOC|PROPERTY|PROPERTY|January 05, 1994
SPC Power Corporation|SPC|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|April 02, 2002
Seafront Resources Corporation|SPM|HOLDING FIRMS|HOLDING FIRMS|May 07, 1974
SP New Energy Corporation|SPNEC|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|December 17, 2021
Supercity Realty Development Corporation|SRDC|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|December 19, 2003
SSI Group, Inc.|SSI|SERVICES|RETAIL|November 07, 2014
SFA Semicon Philippines Corporation|SSP|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|December 01, 2014
STI Education Systems Holdings, Inc.|STI|SERVICES|EDUCATION|October 12, 1976
Steniel Manufacturing Corporation|STN|INDUSTRIAL|OTHER INDUSTRIALS|November 22, 1993
Vistamalls, Inc.|STR|PROPERTY|PROPERTY|November 17, 1970
Suntrust Resort Holdings, Inc.|SUN|PROPERTY|PROPERTY|February 11, 1959
TKC Metals Corporation|T|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|July 20, 2001
Transpacific Broadband Group Int`l. Inc.|TBGI|SERVICES|INFORMATION TECHNOLOGY|December 12, 2003
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``A`` Shares|TCB2A|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|December 08, 2017
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``B`` Shares|TCB2B|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|February 02, 2021
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries C Shares|TCB2C|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|December 14, 2021
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries D Shares|TCB2D|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|December 14, 2021
Cirtek Holdings Philippines Corporation|TECH|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|November 18, 2011
Cirtek Holdings Philippines Corporation Bonus Detachable Warrants|TECHW|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|August 16, 2021
PLDT Inc.|TEL|SERVICES|TELECOMMUNICATIONS|September 17, 1953
PTFC Redevelopment Corporation|TFC|PROPERTY|PROPERTY|December 19, 1955
Top Frontier Investment Holdings, Inc.|TFHI|HOLDING FIRMS|HOLDING FIRMS|January 13, 2014
PLDT Inc. Convertible Preferred Shares Series ``II``|TLII|SERVICES|TELECOMMUNICATIONS|October 15, 2014
PLDT Inc. Convertible Preferred Shares Series ``JJ``|TLJJ|SERVICES|TELECOMMUNICATIONS|January 21, 2016
Harbor Star Shipping Services, Inc.|TUGS|SERVICES|TRANSPORTATION SERVICES|October 30, 2013
Union Bank of the Philippines|UBP|FINANCIALS|BANKS|June 29, 1992
UNIOIL RESOURCES & HOLDINGS COMPANY, INC.|UNI|||July 27, 1987
United Paragon Mining Corporation|UPM|MINING & OIL|MINING|August 31, 1972
Upson International Corp.|UPSON|SERVICES|RETAIL|April 03, 2023
Universal Robina Corporation|URC|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 25, 1994
Vantage Equities, Inc.|V|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|March 30, 1993
Vitarich Corporation|VITA|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|February 08, 1995
Vista Land & Lifescapes, Inc.|VLL|PROPERTY|PROPERTY|June 25, 2007
Victorias Milling Company, Inc.|VMC|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 15, 1993
VistaREIT, Inc.|VREIT|PROPERTY|PROPERTY|June 15, 2022
Vivant Corporation|VVT|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|June 23, 1994
Philweb Corporation|WEB|SERVICES|CASINOS & GAMING|December 08, 1969
Wellex Industries, Inc.|WIN|HOLDING FIRMS|HOLDING FIRMS|January 09, 1958
Wilcon Depot, Inc.|WLCON|SERVICES|RETAIL|March 31, 2017
Waterfront Philippines, Incorporated|WPI|SERVICES|HOTEL & LEISURE|March 17, 1995
Xurpas Inc.|X|SME|SME|December 02, 2014
Zeus Holdings, Inc.|ZHI|HOLDING FIRMS|HOLDING FIRMS|July 15, 1991
